No.;ID Distrik;Tanggal kejadian;Distrik;Propinsi;Latitude dan Longitude
1;9471;09/02/2023;KOTA JAYAPURA;PAPUA;Lintang : 2.60 LS  Bujur : 140.66 BT
2;9471;08/02/2023;KOTA JAYAPURA;PAPUA;Lintang : 2.50 LS  Bujur : 140.71 BT
3;3202;07/02/2023;SUKABUMI;JAWA BARAT;0
4;3205;01/02/2023;GARUT;JAWA BARAT;Lintang : 7.27 LS Bujur : 107.73 BT 
5;3204;28/01/2023;BANDUNG;JAWA BARAT;0
6;3203;24/01/2023;CIANJUR;JAWA BARAT;Lintang : 6.82 LS Bujur : 107.07 BT 
7;8207;18/01/2023;PULAU MOROTAI;MALUKU UTARA;Lintang : 2.80 LU Bujur : 127.11 BT
8;8205;18/01/2023;HALMAHERA UTARA;MALUKU UTARA;Lintang : 2.73 LU Bujur : 127.14 BT
9;8101;10/01/2023;KEPULAUAN TANIMBAR;MALUKU;Lintang : 6.47 LS Bujur  : 130.36 BT
10;8108;10/01/2023;MALUKU BARAT DAYA;MALUKU;Lintang : 7.25 LS Bujur  : 130.18 BT 
11;9471;02/01/2023;KOTA JAYAPURA;PAPUA;Lintang : 2.53 LS Bujur : 140.74 BT 
12;3208;22/12/2022;KUNINGAN;JAWA BARAT;Lintang : 6.99 LS Bujur : 108.48 BT 
13;5107;13/12/2022;KARANGASEM;BALI;0
14;3201;08/12/2022;BOGOR;JAWA BARAT;Lintang : 7.11 LS Bujur : 106.99 BT
15;3202;08/12/2022;SUKABUMI;JAWA BARAT;Lintang : 7.11 LS Bujur : 106.99 BT 
16;3201;03/12/2022;BOGOR;JAWA BARAT;0
17;3205;03/12/2022;GARUT;JAWA BARAT;Lintang : 7.51 LS Bujur :  107.52 BT
18;3512;23/11/2022;SITUBONDO;JAWA TIMUR;0
19;3201;21/11/2022;BOGOR;JAWA BARAT;Lintang : 6.84 LS Bujur : 107.05 BT 
20;3204;21/11/2022;BANDUNG;JAWA BARAT;Lintang : 6.84 LS Bujur : 107.05 BT 
21;3203;21/11/2022;CIANJUR;JAWA BARAT;Lintang : 6.84 LS Bujur : 107.05 BT 
22;3272;21/11/2022;KOTA SUKABUMI;JAWA BARAT;Lintang : 6.84 LS Bujur : 107.05 BT 
23;3202;21/11/2022;SUKABUMI;JAWA BARAT;Lintang : 6.84 LS Bujur : 107.05 BT 
24;3202;09/10/2022;SUKABUMI;JAWA BARAT; Lintang : 7.09 LS Bujur : 106.08 BT
25;3201;09/10/2022;BOGOR;JAWA BARAT;0
26;3602;09/10/2022;LEBAK;BANTEN;Lintang : 7.09 LS Bujur : 106.08 BT
27;1215;01/10/2022;HUMBANG HASUNDUTAN;SUMATERA UTARA;0
28;1205;01/10/2022;TAPANULI UTARA;SUMATERA UTARA;Lintang: 2.05 LU Bujur: 98.99 BT
29;1206;01/10/2022;TOBA;SUMATERA UTARA;Lintang: 2.05 LU Bujur: 98.99 BT
30;1204;01/10/2022;TAPANULI TENGAH;SUMATERA UTARA;Lintang: 2.05 LU Bujur: 98.99 BT
31;1312;28/09/2022;PASAMAN BARAT;SUMATERA BARAT;0
32;1301;11/09/2022;KEPULAUAN MENTAWAI;SUMATERA BARAT;0
